Name,Title,Year,Biopic,SAGNom,SAG,NBR,CCNom,CC,GGNom,GG,OscarNom,BAFTANom,BAFTA,LAFCC,NYFCC,NSFC,Win_Category
Annette Bening,Nyad,2023,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Lily Gladstone,Killers of the Flower Moon,2023,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0
Emma Stone,Poor Things,2023,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0
Carey Mulligan,Maestro,2023,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0
Sandra Huller,Anatomy of a Fall,2023,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
Michelle Yeoh,EEAAO,2022,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1
Michelle Williams,The Fabelmans,2022,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Cate Blanchett,Tar,2022,0,1,0,0,1,1,1,1,1,1,1,2,1,1,0
Ana de Armas,Blonde,2022,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Andrea Riseborough,To Leslie,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessica Chastain,The Eyes of Tammy Faye,2021,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1
Penelope Cruz,Parallel Mothers,2021,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Kristen Stewart,Spencer,2021,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Nicole Kidman,Being the Ricardos,2021,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
Olivia Colman,The Lost Daughter,2021,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Frances McDormand,Nomadland,2020,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1
Carey Mulligan,Promising Young Woman,2020,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0
Viola Davis,Ma Rainey's Black Bottom,2020,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Andra Day,The US vs Billie Holliday,2020,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Vanessa Kirby,Pieces of a Woman,2020,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
Renee Zellweger,Judy,2019,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
Scarlett Johannson,Marriage Story,2019,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0
Saoirse Ronan,Little Women,2019,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
Charlize Theron,Bombshell,2019,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
Cynthia Erivo,Harriet,2019,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Olivia Colman,The Favourite,2018,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1
Lady Gaga,A Star is Born,2018,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0
Glenn Close,The Wife,2018,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0
Yalitza Aparicio,Roma,2018,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Melissa McCarthy,Can You Ever Forgive Me?,2018,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
Frances McDormand,Three Billboards,2017,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1
Meryl Streep,The Post,2017,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
Sally Hawkins,The Shape of Water,2017,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0
Saoirse Ronan,Lady Bird,2017,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0
Margot Robbie,"I, Tonya",2017,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
